"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR4435-2HG",1.27711515084012,2.53790402287165,16.520104478593,3.17665534241742e-51,5.92529817554071e-49,105.69156474275
"LINC01954",-1.42794730716721,0.574679680369054,-16.5183842657772,3.24055794866324e-51,5.96599343899352e-49,105.671774220601
"CHL1-AS2",-0.627610141874055,0.190007308316646,-16.5040333844934,3.82618718032486e-51,6.95384993183143e-49,105.506703399562
"AL356489.2",-0.752634820894395,0.201649036759136,-16.4521273613634,6.97444080558797e-51,1.25151484632931e-48,104.910129209544
"AL445426.1",-0.807119355319527,0.31771542351293,-16.4211583516963,9.97526696154811e-51,1.76761730558632e-48,104.554547243668
"AC135586.2",-0.5767342539972,0.250236213169652,-16.4200621964835,1.01023722542283e-50,1.76803986513506e-48,104.541966232985
"MBNL1-AS1",-1.66980884952099,1.2647413850645,-16.3633003205722,1.9452241382583e-50,3.36286553462801e-48,103.890947123535
"LINC00595",-0.412187848804956,0.0909930966607074,-16.3620908287196,1.97255244886861e-50,3.36902451989896e-48,103.877084939951
"B3GALT5-AS1",-2.26332552375514,0.794475434097142,-16.3468121265948,2.35261779156015e-50,3.97032259680436e-48,103.702008751166
"AC036108.3",-1.34030775766918,0.561748036256781,-16.261679630411,6.27207208919156e-50,1.04603404631035e-47,102.727700867591
"AC009133.3",-0.671675586169726,0.25940904074013,-16.2321821504254,8.80558687151547e-50,1.45148836616981e-47,102.390596521569
"VPS9D1-AS1",2.29877957939394,4.18718774464419,16.2190702625473,1.02381331407903e-49,1.66822730349246e-47,102.240831000477
"CASC19",2.67655777259925,2.93355350645499,16.1924777452087,1.38969950186973e-49,2.23867956119378e-47,101.937240490866
"LINC01975",-0.859123412066168,0.358020285268538,-16.1759012651465,1.68110553447047e-49,2.67768000636555e-47,101.748100517469
"LINC01055",-0.539460346830049,0.194847383002037,-16.1463715681486,2.35932044484154e-49,3.71619184734152e-47,101.411360329029
"AL022318.1",-0.951264585664103,0.351432200747119,-16.1130760168354,3.45635340476637e-49,5.38431493032615e-47,101.031981661236
"LINC02031",-0.442785556058525,0.117818537397325,-16.1022274633443,3.91399220354301e-49,6.03095146493758e-47,100.908440413905
"LINC01351",-1.22055164645021,0.294873556627314,-16.0674613163464,5.82878161423968e-49,8.88481808209266e-47,100.512763491794
"AC008494.3",-0.791536794902187,0.881442044759235,-16.018850348365,1.01660764666619e-48,1.53313085097232e-46,99.9601165563997
"TARID",-0.289573634096012,0.13918020454454,-16.013814493705,1.0768670181306e-48,1.60691229989677e-46,99.9029052123622
"AC021218.1",2.65811012844221,4.26815082717201,15.9702258863271,1.77211577931983e-48,2.61682430079561e-46,99.4080201782534
"BVES-AS1",-0.565129470929916,0.138505483114393,-15.8983524621052,4.02402937507713e-48,5.88089076506118e-46,98.5932493652001
"LINC02057",-1.34091497865556,0.648815670035617,-15.7165059215492,3.18245688423811e-47,4.60352130519995e-45,96.5388447476716
"AF165147.1",-0.389405000608436,0.13615908821385,-15.6678896458188,5.52227645459204e-47,7.90745363841382e-45,95.9913414431042
"B4GALT1-AS1",-1.30449924171381,2.15112803349318,-15.5956668924561,1.25055806701045e-46,1.77279111579401e-44,95.1793628829427
"ADAMTS9-AS1",-1.05266129617514,0.269525083094601,-15.564239869019,1.78381290069458e-46,2.50369620596499e-44,94.8265553993402
"AC068189.1",-0.792890954906103,0.298904137748766,-15.5591928854619,1.88845863047844e-46,2.62458721035905e-44,94.7699261033279
"LINC01082",-2.40029246498651,2.17982839020176,-15.5495719870177,2.10520031576141e-46,2.89740967730425e-44,94.6619981186463
"FRMD6-AS2",-0.649855002972994,0.138982438679645,-15.5171838585717,3.03422449051032e-46,4.13588138244945e-44,94.2988837726557
"AP001107.5",-1.29354559815326,0.5926507323763,-15.4912606510607,4.06451237728283e-46,5.48747880574871e-44,94.0084931036505
"ADAMTS9-AS2",-0.53391770601343,0.16350206983932,-15.4624808183288,5.62147031305394e-46,7.51792105262761e-44,93.6863570978023
"AC069133.1",-0.678035752364775,0.0796624057746291,-15.4547908737209,6.13003581955243e-46,8.12143811009114e-44,93.6003281273691
"RBMS3-AS3",-0.730639022617648,0.230778045744735,-15.3794777054987,1.43019527280811e-45,1.87726372104887e-43,92.7588037125507
"AC009102.2",-0.601464068175471,0.148291647232516,-15.3680599667951,1.62594243989995e-45,2.11462018605704e-43,92.6313879121031
"AC007556.1",-0.879389084667534,0.235509332275619,-15.2801704970032,4.35829128316666e-45,5.61664883910642e-43,91.6520312962028
"ZFAS1",1.7817337040677,7.23709903259182,15.2712266337906,4.81759246139936e-45,6.1526297957475e-43,91.5525132967499
"LINC01855",-0.342010678711462,0.0461325218942121,-15.2597248651729,5.479887905347e-45,6.93597240591064e-43,91.4245728723876
"SFTA1P",-1.23878629392255,0.582293986399292,-15.2535976964099,5.86900985552949e-45,7.36275077097221e-43,91.3564351114583
"IL6R-AS1",-0.398631015121833,0.173413664632334,-15.208582066531,9.71147689901576e-45,1.20763067123199e-42,90.8562208214271
"AF001548.1",-1.54409803222151,0.577123190821939,-15.1992882333393,1.07747005134598e-44,1.32819264764179e-42,90.7530325642505
"AC012085.2",-1.48696736932572,0.337065540495245,-15.1539831481141,1.78719931014329e-44,2.18408081211994e-42,90.2504342505616
"AC015908.2",-1.20357198144088,0.785107881617162,-15.1012869879758,3.21673292518641e-44,3.89747059379851e-42,89.6667199953537
"MNX1-AS1",1.74322813946454,3.48751760873211,15.0824650981095,3.96718518199168e-44,4.76600145253509e-42,89.4584604814207
"AC005180.1",-1.45398184755257,0.522706672484212,-15.0228653881919,7.70019424056331e-44,9.17293727346432e-42,88.7998088551809
"OSTN-AS1",-0.801458457026875,0.269409489527881,-14.985249091212,1.16953114023537e-43,1.38160612033139e-41,88.3847343830492
"AC126178.1",-0.929659651345606,0.351158763953177,-14.9187837554621,2.44459515595236e-43,2.86401495295707e-41,87.6525338178194
"AC106881.1",-0.335604502328336,0.212939208563464,-14.9105426647558,2.67831493515143e-43,3.08681240005746e-41,87.5618556492562
"AC005180.2",-1.64011625822755,0.677358116915073,-14.8909860150859,3.32600995513055e-43,3.80238041322021e-41,87.3467661691
"LINC00582",-1.02850882974897,0.491605376277838,-14.8753002884696,3.95662900459374e-43,4.48713382152967e-41,87.1743477689563
"AL138995.1",-0.90457689175084,0.617250681445399,-14.8159106668066,7.62908028627301e-43,8.58332080461954e-41,86.5223243616639
"FOXP4-AS1",1.80315878878127,2.89289165206788,14.8035479673033,8.74502372190792e-43,9.76137451037532e-41,86.3867554233765
"LINC01140",-0.406278629002748,0.213136517456072,-14.7765174801942,1.17845000220318e-42,1.30513337744003e-40,86.0905305440471
"AC009522.1",-0.531358030408059,0.134863665150542,-14.7294195757892,1.9804727590199e-42,2.17637068464079e-40,85.5750157141288
"AL513217.1",-0.813570735966004,0.240632986427194,-14.718393739024,2.23614378558285e-42,2.43842879264788e-40,85.4544469111174
"AL645568.1",-0.778564466698364,0.756988336291953,-14.6809587100143,3.37590579243121e-42,3.65319393232861e-40,85.0454192386632
"AC124067.2",2.62136085899401,3.66781417754791,14.635238577616,5.5792342835481e-42,5.99175948511953e-40,84.5465576823344
"LINC01475",-0.940384749131746,0.482829691039313,-14.5743322448387,1.08822087066188e-41,1.15989617011299e-39,83.8831863898676
"MIR3150BHG",-0.798441262266387,0.334436622214733,-14.5653877453599,1.20026400278233e-41,1.26036611136609e-39,83.7858810091349
"AL365361.1",-1.04890111766202,0.604800630990689,-14.4965614531891,2.54881516642475e-41,2.65676498523803e-39,83.0381263255296
"TMEM147-AS1",1.43494150061027,2.71683148927549,14.4423028329615,4.60932702401266e-41,4.76947590455499e-39,82.4498861930535
"DLGAP1-AS2",1.75231946191125,3.16745500112298,14.4042268950281,6.98091250312928e-41,7.17111707567831e-39,82.0377499824676
"LINC00940",-1.0050188349907,0.498466138874616,-14.3769158478153,9.39883163321539e-41,9.58545591600441e-39,81.7424710735413
"LINC02033",-0.464920402211992,0.220508112699853,-14.370196422621,1.01119112307223e-40,1.023903240048e-38,81.6698660067072
"CRNDE",2.23505344725029,2.34584502942012,14.2778764601577,2.75697167680125e-40,2.77183194966912e-38,80.6740694733754
"FGF14-AS2",-1.22108168558442,0.868170610093318,-14.2650071180723,3.16987914810783e-40,3.16452160588568e-38,80.5355155765114
"AC040160.1",1.88885676166214,3.936896711344,14.1783085462768,8.10299237179126e-40,8.03272866171419e-38,79.6037706589265
"LINC01537",-0.457995760440692,0.183616834848131,-14.1628969366406,9.57126698428991e-40,9.42238060897874e-38,79.4384487836155
"LINC01354",-0.382961090082459,0.146515376316023,-14.0986393772896,1.91463956666597e-39,1.87185727565909e-37,78.7501540259873
"AL731557.1",-0.318193370572136,0.105596058780879,-14.0925189963069,2.04517882973451e-39,1.98578459522715e-37,78.684680248196
"AC005674.1",-0.906169219124055,0.472986985307424,-14.0887695125968,2.12949323309687e-39,2.05358476682865e-37,78.6445768311577
"AC011306.1",-0.468237649163085,0.117667050242965,-14.086461520427,2.18310625373309e-39,2.09106177384597e-37,78.619893958758
"LINC02038",-1.4425345238925,2.12105960186476,-14.0626738530195,2.82045719912161e-39,2.68340948018442e-37,78.3656188953746
"AC053503.5",-1.13885468109026,0.302348878396292,-14.0485368851793,3.2838724322528e-39,3.10347837330771e-37,78.2146098162405
"CLCA4-AS1",-0.931396305811113,0.527650409453776,-14.0397837087175,3.60807591643313e-39,3.38729034379841e-37,78.1211493760686
"AC093627.6",-1.19695991339997,0.529717279964796,-14.001906127813,5.42081746256064e-39,5.05562554929339e-37,77.7170697546612
"MIR22HG",-1.56458588319848,3.52920393023883,-13.990917241399,6.09969297890433e-39,5.65158481496391e-37,77.5999469368454
"PDCD4-AS1",-1.07417214376682,2.62989349248187,-13.9637067705256,8.16781321932577e-39,7.5186311816339e-37,77.3101376256399
"LINC01571",-0.443990830873743,0.121178207839116,-13.9208017324957,1.29353552919551e-38,1.18304255883068e-36,76.8537749964979
"LINC00844",-0.344097331385166,0.0661066985486015,-13.8834498021792,1.92906648897338e-38,1.75297734280042e-36,76.4570832360323
"AL034346.1",-0.572535363324027,0.335586656319832,-13.8750908477641,2.10938897387183e-38,1.90463045182211e-36,76.3683853409535
"LIFR-AS1",-0.292562224153926,0.125979591272284,-13.8709322247113,2.20526119001075e-38,1.97859383731598e-36,76.3242682462558
"MELTF-AS1",1.45489653399202,2.68765296355138,13.8646846090018,2.35751425375981e-38,2.10189446926409e-36,76.2580031092442
"SNHG12",1.32592488355721,3.70165331319122,13.8087329055554,4.28363816896114e-38,3.79530341769957e-36,75.6652622248493
"LINC01135",-0.590044310895008,0.450391753640761,-13.800000985642,4.7015275957777e-38,4.13968044706488e-36,75.5728734906226
"LINC01605",1.81466264205777,2.24633056696035,13.7852568717499,5.50135039227704e-38,4.81402118277279e-36,75.416943274781
"AC130371.2",-1.33439512539054,1.23251410967696,-13.6904457901674,1.50764050916215e-37,1.31118477655722e-35,74.4163852455852
"AC144831.1",-0.979360583774415,0.813783562577508,-13.6352716716416,2.70611759200139e-37,2.32496502934617e-35,73.8358411959601
"AC079313.2",-0.852530017261215,0.229316622319439,-13.6119902029105,3.46243398381628e-37,2.95683519003492e-35,73.5912548230008
"CASC18",-0.433600504620773,0.154633590087656,-13.6107826588232,3.50695686287607e-37,2.97692338252283e-35,73.5785750248757
"LINC01781",-0.956768711070781,0.45595307933361,-13.5776593385573,4.97778461569934e-37,4.20030206619963e-35,73.2310033797349
"LINC01013",-0.284406512553258,0.114927003959287,-13.505958478889,1.06074192621241e-36,8.89767902129418e-35,72.4802161789959
"SNHG6",1.37163145464518,7.26651023619815,13.5005779841702,1.12260833630246e-36,9.36123280907272e-35,72.4239645302063
"AC011365.2",-0.51934026576262,0.252843382869872,-13.4982053247597,1.15101957920367e-36,9.54201962268489e-35,72.3991629235265
"AC026401.3",1.25563564159988,4.74373102829873,13.4847797670968,1.3258137236362e-36,1.09271717129458e-34,72.2588696845491
"MHENCR",1.71103324669509,4.3713841052159,13.4417154350769,2.08548425164572e-36,1.70889160412311e-34,71.8093798491648
"AC073611.1",0.966590029622795,1.94696554686777,13.4397309863082,2.12943274621506e-36,1.73487578220371e-34,71.7886860554435
"PCAT18",-0.449825215085696,0.124030225933364,-13.4326682723824,2.29346548111579e-36,1.85783809487414e-34,71.7150499355713
"DIRC3",-0.349614689944384,0.152855349239876,-13.3681855363892,4.51137733007731e-36,3.59288118152674e-34,71.043744588811
"AC010776.3",-0.301044526773921,0.0454823285086351,-13.3247925916435,7.10548447951697e-36,5.62722614422528e-34,70.5930105984367
"AC006007.1",-0.399511717716666,0.0555677054787125,-13.3202464903207,7.45147039971923e-36,5.86844691035666e-34,70.5458364516044
"AC107959.1",-0.598346155497063,0.486816911069839,-13.2472986894497,1.59601560911681e-35,1.25000647927293e-33,69.7901050803494
"AL391244.2",1.10932656552526,2.49982959656051,13.229364439173,1.92401860750048e-35,1.49862020768829e-33,69.6046659582208
"LINC02292",-0.45403106189409,0.264003507969804,-13.2128577294267,2.2848950721725e-35,1.76998210618128e-33,69.4341128748125
"AC104024.1",-0.331773941702477,0.118790064026709,-13.2116523711923,2.31374694681045e-35,1.78259112597744e-33,69.4216634073783
"AC002398.2",-0.742886994139048,0.206426094841971,-13.1952338867077,2.74485017429936e-35,2.10329708491177e-33,69.252150098707
"LINC01752",-2.40814218478251,2.57723261413774,-13.1393911340633,4.90357526031866e-35,3.71727715990788e-33,68.6764943682077
"HAGLR",-2.33079806867381,2.48997397263495,-13.1153873814556,6.28995751024535e-35,4.74289562049138e-33,68.4294781783472
"SNHG32",1.29985954175274,7.13831824770393,13.0916053795394,8.04774544338664e-35,6.02539901708623e-33,68.184998113878
"AC092718.4",1.34396624672042,4.34553806167944,13.0912693454785,8.07580285867934e-35,6.02539901708623e-33,68.1815454844345
"SLC12A9-AS1",1.66264017613117,2.95513686470546,13.0884804571607,8.31245407667225e-35,6.16949471156575e-33,68.152892612317
"PPP1R14B-AS1",1.5722012883549,3.00443364422348,13.0397339424145,1.3763625554956e-34,1.01621435347425e-32,67.6526385686055
"LINC02557",-0.331689308346127,0.0574221665774561,-13.0155744571562,1.76645795073213e-34,1.29078906750405e-32,67.4051025371012
"LINC02716",-0.637187919688253,0.331742954954168,-13.0007657880518,2.05813226658383e-34,1.48857566383124e-32,67.2535047658548
"LINC00955",-0.737625764768955,0.224398614102758,-12.962446923295,3.05501360554629e-34,2.19836918133117e-32,66.8616930175844
"LINC01352",-0.492239271489149,0.232923844496785,-12.9576342116967,3.21024082587098e-34,2.29840272462359e-32,66.8125301063531
"MRGPRF-AS1",-0.346338048235145,0.130308700214619,-12.9426399439243,3.74601161431991e-34,2.66851561028136e-32,66.6594280917755
"ZNF582-AS1",-0.683786504601831,0.555209245166892,-12.8892461942577,6.48492767242909e-34,4.59651673421774e-32,66.1150757055594
"FAM222A-AS1",1.53749224112399,1.7065557375195,12.8142048565891,1.3993175855439e-33,9.86901795655237e-32,65.3522425070083
"AL049836.1",1.99997619791276,2.44317227833324,12.7894890698026,1.80169548675222e-33,1.26439778317819e-31,65.1015648240651
"AC104958.2",2.09988291591857,3.33803729386988,12.776599228494,2.0553125456642e-33,1.43527638656826e-31,64.9709434744776
"AL355312.4",2.69443782082551,3.06484592056297,12.7423026828859,2.91675935567408e-33,2.02686179539391e-31,64.623771160196
"AC040168.1",-0.266374290384401,0.0899528075943432,-12.7320049346413,3.23966553915224e-33,2.24026822844011e-31,64.5196378889638
"DPP10-AS1",-2.43873287944265,1.09319056164913,-12.7097148635464,4.06564876175215e-33,2.79779790517468e-31,64.2944056559717
"SNHG11",1.27475011148769,3.87051488046562,12.6996510027141,4.50430512663824e-33,3.08468741426202e-31,64.1927908209851
"AL162424.1",-1.15956503145861,0.721086167682601,-12.6821351926121,5.38302121358408e-33,3.668735996335e-31,64.0160472704754
"FAM30A",-0.973608934172979,0.560145883409821,-12.6780849220479,5.609374610535e-33,3.80471265449493e-31,63.9751985268548
"AC022034.1",-1.25360925100735,0.876394059060979,-12.6773169511409,5.65335003056309e-33,3.8162804777744e-31,63.9674540779138
"TRPC7-AS1",-1.40402497236302,1.1373564283474,-12.6685807916654,6.17841605214542e-33,4.15095857607647e-31,63.879375609938
"AL513542.1",-0.793501651319769,0.397763843341369,-12.6411738353912,8.16172126050293e-33,5.45757361268347e-31,63.6032910694741
"SNHG20",1.05576143508292,2.78234962845369,12.6286445555895,9.2683665129986e-33,6.16846777879193e-31,63.4771955323408
"ZNF667-AS1",-1.10358777444747,1.13227591323708,-12.6119926139887,1.09735020260868e-32,7.26917592157971e-31,63.309724501202
"SNHG3",1.40895722564659,4.67969273895124,12.6093043871628,1.12766474177095e-32,7.43524436248605e-31,63.2827009552213
"AC120049.1",-0.622596458999887,0.525352237325054,-12.5785675296075,1.53954354370811e-32,1.00574051961319e-30,62.9739615040966
"GNG12-AS1",-0.652509504149632,0.69554044885512,-12.5667811740219,1.73455858914264e-32,1.12794048438927e-30,62.8556917484728
"CYTOR",1.2423156327509,2.88600369844405,12.5551032244337,1.95200717461532e-32,1.2635458313857e-30,62.7385752482991
"AC015908.4",-0.311806872732302,0.100957856144272,-12.5478465827981,2.10058488275947e-32,1.35354051354538e-30,62.6658322818447
"AC027807.2",-0.554804198644432,0.197520866691443,-12.5148409078288,2.93162245829991e-32,1.88048325650948e-30,62.3352910071261
"GAS1RR",-0.392236856706627,0.135735003821757,-12.4951355833792,3.57627754127912e-32,2.28366263176454e-30,62.1381980057677
"CYP1B1-AS1",-0.309536416776491,0.206342777209328,-12.4587186886362,5.16120296218419e-32,3.2809512642118e-30,61.7744482617636
"LINC00659",2.41427392079136,2.34521647069317,12.3958273049351,9.71053261302235e-32,6.14537992509843e-30,61.1477709247188
"AL135905.1",-1.16509577895972,1.75024844344226,-12.3748955241981,1.19789051060747e-31,7.54724261260958e-30,60.9396243737645
"UBXN10-AS1",-1.74222983799314,1.43252790055268,-12.3614513581301,1.37065552030803e-31,8.59752772384364e-30,60.8060478605753
"FOXD3-AS1",-0.836026541653173,0.317240926663341,-12.3396343761713,1.70529064737976e-31,1.06269270796042e-29,60.5894702709686
"AF064860.2",-0.490216751093884,0.203501918078069,-12.2566359569314,3.90654988622357e-31,2.41830791210067e-29,59.7676822735324
"AC106900.1",1.58383718556148,2.24318929218521,12.2442148857603,4.42122201743356e-31,2.72501057909296e-29,59.6449908642593
"LINC02418",3.00108670269637,2.80904038732967,12.2108246953077,6.16405439996063e-31,3.76644979197594e-29,59.3155527607399
"AC103923.1",-0.577208498398691,0.419312661238822,-12.2097294180576,6.23155738716022e-31,3.79135440001645e-29,59.3047558022614
"SNHG4",1.51799922940024,3.10984044007719,12.1852264306728,7.94967934019565e-31,4.8160108686587e-29,59.0633680151709
"AC131009.3",1.31737555841017,3.18696171295574,12.1455231090443,1.1787788893098e-30,7.11079554674711e-29,58.6728730251962
"AC104971.3",-0.761019942578051,0.297108969609411,-12.1129292031037,1.62789521506443e-30,9.77840786811581e-29,58.3528922269083
